part,snr,resp,corr,trial,con,vowel,ans
10412641,5,same,0,HI-KI_pos5.mp3,k-h,i,diff
10412641,5,same,1,THA-THA_pos5.mp3,th-th,a,same
10412641,5,same,1,TI-TI_pos5.mp3,t-t,i,same
10412641,5,same,1,KI-KI_pos5.mp3,k-k,i,same
10412641,5,same,1,PU-PU_pos5.mp3,p-p,u,same
10412641,5,same,0,TI-KI_pos5.mp3,t-k,i,diff
10412641,5,same,1,PI-PI_pos5.mp3,p-p,i,same
10412641,5,diff,1,KA-PA_pos5.mp3,p-k,a,diff
10412641,5,same,0,KI-PI_pos5.mp3,p-k,i,diff
10412641,5,same,1,KA-KA_pos5.mp3,k-k,a,same
10412641,5,same,1,THI-THI_pos5.mp3,th-th,i,same
10412641,5,same,1,THU-THU_pos5.mp3,th-th,u,same
10412641,5,same,1,KU-KU_pos5.mp3,k-k,u,same
10412641,5,diff,1,HA-TA_pos5.mp3,t-h,a,diff
10412641,5,same,1,TI-TI_pos5.mp3,t-t,i,same
10412641,5,same,1,PA-PA_pos5.mp3,p-p,a,same
10412641,5,same,1,KA-KA_pos5.mp3,k-k,a,same
10412641,5,diff,1,HA-THA_pos5.mp3,th-h,a,diff
10412641,5,same,1,KU-KU_pos5.mp3,k-k,u,same
10412641,5,same,1,PA-PA_pos5.mp3,p-p,a,same
10412641,5,same,1,HI-HI_pos5.mp3,h-h,i,same
10412641,5,same,1,TA-TA_pos5.mp3,t-t,a,same
10412641,5,same,0,TI-PI_pos5.mp3,p-t,i,diff
10412641,5,same,1,TI-TI_pos5.mp3,t-t,i,same
10412641,5,same,0,PI-HI_pos5.mp3,p-h,i,diff
10412641,5,same,0,KU-PU_pos5.mp3,p-k,u,diff
10412641,5,same,0,KU-TU_pos5.mp3,t-k,u,diff
10412641,5,same,1,PI-PI_pos5.mp3,p-p,i,same
10412641,5,same,0,PU-KU_pos5.mp3,p-k,u,diff
10412641,5,same,1,PU-PU_pos5.mp3,p-p,u,same
10412641,5,diff,1,THA-HA_pos5.mp3,th-h,a,diff
10412641,5,same,1,THI-THI_pos5.mp3,th-th,i,same
10412641,5,same,0,PA-HA_pos5.mp3,p-h,a,diff
10412641,5,diff,1,KA-THA_pos5.mp3,th-k,a,diff
10412641,5,same,0,HI-TI_pos5.mp3,t-h,i,diff
10412641,5,same,0,PI-TI_pos5.mp3,p-t,i,diff
10412641,5,same,1,THA-THA_pos5.mp3,th-th,a,same
10412641,5,same,1,TA-TA_pos5.mp3,t-t,a,same
10412641,5,same,1,KA-KA_pos5.mp3,k-k,a,same
10412641,5,same,1,KU-KU_pos5.mp3,k-k,u,same
10412641,5,same,0,KI-HI_pos5.mp3,k-h,i,diff
10412641,5,same,1,KI-KI_pos5.mp3,k-k,i,same
10412641,5,same,1,HA-HA_pos5.mp3,h-h,a,same
10412641,5,same,1,THI-THI_pos5.mp3,th-th,i,same
10412641,5,same,0,KI-THI_pos5.mp3,th-k,i,diff
10412641,5,same,1,KA-KA_pos5.mp3,k-k,a,same
10412641,5,same,1,PI-PI_pos5.mp3,p-p,i,same
10412641,5,diff,1,TA-THA_pos5.mp3,th-t,a,diff
10412641,5,same,0,THI-PI_pos5.mp3,p-th,i,diff
10412641,5,diff,0,THU-THU_pos5.mp3,th-th,u,same
10412641,5,same,0,TI-HI_pos5.mp3,t-h,i,diff
10412641,5,same,1,TU-TU_pos5.mp3,t-t,u,same
10412641,5,same,1,THU-THU_pos5.mp3,th-th,u,same
10412641,5,same,1,THI-THI_pos5.mp3,th-th,i,same
10412641,5,same,1,PA-PA_pos5.mp3,p-p,a,same
10412641,5,same,0,THU-KU_pos5.mp3,th-k,u,diff
10412641,5,same,1,THU-THU_pos5.mp3,th-th,u,same
10412641,5,same,1,TU-TU_pos5.mp3,t-t,u,same
10412916,5,same,1,TI-TI_pos5.mp3,t-t,i,same
10412916,5,same,0,THA-KA_pos5.mp3,th-k,a,diff
10412916,5,diff,0,THU-THU_pos5.mp3,th-th,u,same
10412916,5,same,0,KI-TI_pos5.mp3,t-k,i,diff
10412916,5,same,0,THI-TI_pos5.mp3,th-t,i,diff
10412916,5,same,0,TI-KI_pos5.mp3,t-k,i,diff
10412916,5,diff,0,TA-TA_pos5.mp3,t-t,a,same
10412916,5,diff,1,HU-PU_pos5.mp3,p-h,u,diff
10412916,5,diff,1,PI-TI_pos5.mp3,p-t,i,diff
10412916,5,same,0,KU-HU_pos5.mp3,k-h,u,diff
10412916,5,same,1,KU-KU_pos5.mp3,k-k,u,same
10412916,5,same,0,PI-HI_pos5.mp3,p-h,i,diff
10412916,5,diff,1,HI-KI_pos5.mp3,k-h,i,diff
10412916,5,diff,1,KU-TU_pos5.mp3,t-k,u,diff
10412916,5,diff,0,PU-PU_pos5.mp3,p-p,u,same
10412916,5,same,0,KU-PU_pos5.mp3,p-k,u,diff
10412916,5,same,0,THI-PI_pos5.mp3,p-th,i,diff
10412916,5,diff,1,PA-KA_pos5.mp3,p-k,a,diff
10412916,5,same,0,HA-PA_pos5.mp3,p-h,a,diff
10412916,5,diff,1,TA-KA_pos5.mp3,t-k,a,diff
10412916,5,same,1,PU-PU_pos5.mp3,p-p,u,same
10412916,5,same,1,KA-KA_pos5.mp3,k-k,a,same
10412916,5,same,1,THI-THI_pos5.mp3,th-th,i,same
10412916,5,same,0,PU-KU_pos5.mp3,p-k,u,diff
10412916,5,diff,1,PA-THA_pos5.mp3,p-th,a,diff
10412916,5,same,1,KI-KI_pos5.mp3,k-k,i,same
10412916,5,same,1,KA-KA_pos5.mp3,k-k,a,same
10412916,5,diff,1,THU-PU_pos5.mp3,p-th,u,diff
10412916,5,diff,1,HA-THA_pos5.mp3,th-h,a,diff
10412916,5,same,1,PI-PI_pos5.mp3,p-p,i,same
10412916,5,same,1,HU-HU_pos5.mp3,h-h,u,same
10412916,5,diff,1,KI-THI_pos5.mp3,th-k,i,diff
10412916,5,same,1,HI-HI_pos5.mp3,h-h,i,same
10412916,5,same,1,THA-THA_pos5.mp3,th-th,a,same
10412916,5,diff,1,HI-THI_pos5.mp3,th-h,i,diff
10412916,5,same,1,THI-THI_pos5.mp3,th-th,i,same
10412916,5,same,1,HU-HU_pos5.mp3,h-h,u,same
10412916,5,same,0,TA-THA_pos5.mp3,th-t,a,diff
10412916,5,same,1,PA-PA_pos5.mp3,p-p,a,same
10412916,5,same,1,TU-TU_pos5.mp3,t-t,u,same
10412916,5,same,1,KI-KI_pos5.mp3,k-k,i,same
10412916,5,same,1,THU-THU_pos5.mp3,th-th,u,same
10412916,5,same,1,KU-KU_pos5.mp3,k-k,u,same
10412916,5,same,1,HA-HA_pos5.mp3,h-h,a,same
10412916,5,same,1,PU-PU_pos5.mp3,p-p,u,same
10412916,5,diff,1,THI-KI_pos5.mp3,th-k,i,diff
10412916,5,same,1,THU-THU_pos5.mp3,th-th,u,same
10412916,5,diff,1,THA-PA_pos5.mp3,p-th,a,diff
10412916,5,same,1,THA-THA_pos5.mp3,th-th,a,same
10412916,5,same,1,PA-PA_pos5.mp3,p-p,a,same
10412916,5,diff,1,HU-THU_pos5.mp3,th-h,u,diff
10412916,5,diff,1,THU-HU_pos5.mp3,th-h,u,diff
10412916,5,diff,1,TU-PU_pos5.mp3,p-t,u,diff
10412916,5,diff,1,THA-TA_pos5.mp3,th-t,a,diff
10412916,5,diff,1,KA-TA_pos5.mp3,t-k,a,diff
10412916,5,same,1,TA-TA_pos5.mp3,t-t,a,same
10412916,5,diff,1,KI-HI_pos5.mp3,k-h,i,diff
10412916,5,same,0,HU-KU_pos5.mp3,k-h,u,diff
10412916,5,same,1,PU-PU_pos5.mp3,p-p,u,same
10412916,5,same,0,PA-HA_pos5.mp3,p-h,a,diff
10412916,5,diff,0,TI-TI_pos5.mp3,t-t,i,same
10412916,5,same,1,HI-HI_pos5.mp3,h-h,i,same
10412916,5,diff,1,HA-TA_pos5.mp3,t-h,a,diff
10412916,5,same,1,PA-PA_pos5.mp3,p-p,a,same
10412916,5,diff,1,THA-HA_pos5.mp3,th-h,a,diff
10412916,5,same,1,KA-KA_pos5.mp3,k-k,a,same
10412916,5,same,1,HA-HA_pos5.mp3,h-h,a,same
10412916,5,same,1,KI-KI_pos5.mp3,k-k,i,same
10412916,5,diff,1,TU-KU_pos5.mp3,t-k,u,diff
10412916,5,same,0,HI-TI_pos5.mp3,t-h,i,diff
10412916,5,diff,1,KA-THA_pos5.mp3,th-k,a,diff
10412916,5,same,1,THA-THA_pos5.mp3,th-th,a,same
10412916,5,same,1,KA-KA_pos5.mp3,k-k,a,same
10412916,5,diff,1,TA-PA_pos5.mp3,p-t,a,diff
10412916,5,diff,1,TI-HI_pos5.mp3,t-h,i,diff
10412916,5,same,1,HU-HU_pos5.mp3,h-h,u,same
10412916,5,same,1,THI-THI_pos5.mp3,th-th,i,same
10412916,5,same,1,HI-HI_pos5.mp3,h-h,i,same
10412916,5,same,1,TU-TU_pos5.mp3,t-t,u,same
10412916,5,same,1,HA-HA_pos5.mp3,h-h,a,same
10412916,5,same,1,HI-HI_pos5.mp3,h-h,i,same
10412916,5,same,1,TU-TU_pos5.mp3,t-t,u,same
10412916,5,same,1,TA-TA_pos5.mp3,t-t,a,same
10412916,5,same,1,PI-PI_pos5.mp3,p-p,i,same
10412916,5,same,1,TI-TI_pos5.mp3,t-t,i,same
10412916,5,same,1,KU-KU_pos5.mp3,k-k,u,same
10412916,5,same,1,PI-PI_pos5.mp3,p-p,i,same
10412916,5,same,0,TU-HU_pos5.mp3,t-h,u,diff
10412916,5,same,0,TI-THI_pos5.mp3,th-t,i,diff
10412916,5,diff,1,TU-THU_pos5.mp3,th-t,u,diff
10412916,5,same,1,TU-TU_pos5.mp3,t-t,u,same
10412916,5,same,0,HI-PI_pos5.mp3,p-h,i,diff
10412916,5,same,1,THI-THI_pos5.mp3,th-th,i,same
10412916,5,same,1,HU-HU_pos5.mp3,h-h,u,same
10412916,5,same,0,KI-PI_pos5.mp3,p-k,i,diff
10412916,5,diff,1,KA-PA_pos5.mp3,p-k,a,diff
10412916,5,same,1,THU-THU_pos5.mp3,th-th,u,same
10412916,5,diff,1,TA-HA_pos5.mp3,t-h,a,diff
10412916,5,diff,1,PA-TA_pos5.mp3,p-t,a,diff
10412916,5,diff,1,HA-KA_pos5.mp3,k-h,a,diff
10412916,5,diff,1,THU-KU_pos5.mp3,th-k,u,diff
10412916,5,same,1,HA-HA_pos5.mp3,h-h,a,same
10412916,5,diff,1,KA-HA_pos5.mp3,k-h,a,diff
10412916,5,same,1,PA-PA_pos5.mp3,p-p,a,same
10412916,5,diff,1,THU-TU_pos5.mp3,th-t,u,diff
10412916,5,diff,1,PU-THU_pos5.mp3,p-th,u,diff
10412916,5,same,0,TI-PI_pos5.mp3,p-t,i,diff
10412916,5,same,1,THA-THA_pos5.mp3,th-th,a,same
10412916,5,same,1,KI-KI_pos5.mp3,k-k,i,same
10412916,5,same,1,TA-TA_pos5.mp3,t-t,a,same
10412916,5,same,1,PI-PI_pos5.mp3,p-p,i,same
10412916,5,same,0,KU-THU_pos5.mp3,th-k,u,diff
10412916,5,same,0,PI-THI_pos5.mp3,p-th,i,diff
10412916,5,same,1,KU-KU_pos5.mp3,k-k,u,same
10412916,5,same,0,THI-HI_pos5.mp3,th-h,i,diff
10412916,5,same,0,PU-TU_pos5.mp3,p-t,u,diff
10412916,5,same,1,TI-TI_pos5.mp3,t-t,i,same
10412916,5,same,0,PI-KI_pos5.mp3,p-k,i,diff
10412916,5,diff,1,HU-TU_pos5.mp3,t-h,u,diff
10412916,5,same,0,PU-HU_pos5.mp3,p-h,u,diff
10415345,5,same,1,THI-THI_pos5.mp3,th-th,i,same
10415345,5,same,1,PU-PU_pos5.mp3,p-p,u,same
10415345,5,diff,1,KU-TU_pos5.mp3,t-k,u,diff
10415345,5,same,1,PA-PA_pos5.mp3,p-p,a,same
10415345,5,same,1,TU-TU_pos5.mp3,t-t,u,same
10415345,5,diff,1,PA-KA_pos5.mp3,p-k,a,diff
10415345,5,diff,1,THU-TU_pos5.mp3,th-t,u,diff
10415345,5,diff,1,KI-THI_pos5.mp3,th-k,i,diff
10415345,5,same,1,HA-HA_pos5.mp3,h-h,a,same
10415345,5,diff,1,TI-HI_pos5.mp3,t-h,i,diff
10415345,5,diff,1,KA-THA_pos5.mp3,th-k,a,diff
10415345,5,same,1,TU-TU_pos5.mp3,t-t,u,same
10415345,5,same,1,KI-KI_pos5.mp3,k-k,i,same
10415345,5,same,1,HU-HU_pos5.mp3,h-h,u,same
10415345,5,diff,1,PA-THA_pos5.mp3,p-th,a,diff
10415345,5,same,1,KA-KA_pos5.mp3,k-k,a,same
10415345,5,same,0,TI-THI_pos5.mp3,th-t,i,diff
10415345,5,same,1,TA-TA_pos5.mp3,t-t,a,same
10415345,5,same,1,HI-HI_pos5.mp3,h-h,i,same
10415345,5,same,1,KI-KI_pos5.mp3,k-k,i,same
10415345,5,same,0,KI-HI_pos5.mp3,k-h,i,diff
10415345,5,same,1,PU-PU_pos5.mp3,p-p,u,same
10415345,5,same,0,HI-KI_pos5.mp3,k-h,i,diff
10415345,5,same,0,KU-PU_pos5.mp3,p-k,u,diff
10415345,5,same,0,HU-KU_pos5.mp3,k-h,u,diff
10415345,5,same,1,TA-TA_pos5.mp3,t-t,a,same
10415345,5,same,1,HA-HA_pos5.mp3,h-h,a,same
10415345,5,same,1,HI-HI_pos5.mp3,h-h,i,same
10415345,5,diff,1,PA-TA_pos5.mp3,p-t,a,diff
10415345,5,same,0,PU-KU_pos5.mp3,p-k,u,diff
10415345,5,diff,1,THA-TA_pos5.mp3,th-t,a,diff
10415345,5,same,1,KA-KA_pos5.mp3,k-k,a,same
10415345,5,same,1,THI-THI_pos5.mp3,th-th,i,same
10415345,5,same,0,HI-PI_pos5.mp3,p-h,i,diff
10415345,5,diff,1,KA-PA_pos5.mp3,p-k,a,diff
10415345,5,same,0,PU-THU_pos5.mp3,p-th,u,diff
10415345,5,same,0,PI-KI_pos5.mp3,p-k,i,diff
10415345,5,same,1,HI-HI_pos5.mp3,h-h,i,same
10415345,5,same,0,HA-PA_pos5.mp3,p-h,a,diff
10415345,5,same,1,THA-THA_pos5.mp3,th-th,a,same
10415345,5,same,0,PU-HU_pos5.mp3,p-h,u,diff
10415345,5,same,0,PI-HI_pos5.mp3,p-h,i,diff
10415345,5,same,0,KI-TI_pos5.mp3,t-k,i,diff
10415345,5,same,1,PU-PU_pos5.mp3,p-p,u,same
10415345,5,diff,1,TU-THU_pos5.mp3,th-t,u,diff
10415345,5,diff,1,KA-TA_pos5.mp3,t-k,a,diff
10415345,5,diff,1,HA-THA_pos5.mp3,th-h,a,diff
10415345,5,same,1,THU-THU_pos5.mp3,th-th,u,same
10415345,5,diff,1,THU-KU_pos5.mp3,th-k,u,diff
10415345,5,same,0,HI-THI_pos5.mp3,th-h,i,diff
10415345,5,same,0,PU-TU_pos5.mp3,p-t,u,diff
10415345,5,same,1,KU-KU_pos5.mp3,k-k,u,same
10415345,5,same,1,PI-PI_pos5.mp3,p-p,i,same
10415345,5,diff,1,TA-HA_pos5.mp3,t-h,a,diff
10415345,5,diff,1,TA-PA_pos5.mp3,p-t,a,diff
10415345,5,same,1,TA-TA_pos5.mp3,t-t,a,same
10415345,5,same,0,THU-PU_pos5.mp3,p-th,u,diff
10415345,5,same,1,TI-TI_pos5.mp3,t-t,i,same
10415345,5,diff,1,THA-PA_pos5.mp3,p-th,a,diff
10415345,5,same,0,PI-TI_pos5.mp3,p-t,i,diff
10415345,5,same,1,PI-PI_pos5.mp3,p-p,i,same
10415345,5,same,1,PA-PA_pos5.mp3,p-p,a,same
10415345,5,same,1,HU-HU_pos5.mp3,h-h,u,same
10415345,5,same,0,HU-THU_pos5.mp3,th-h,u,diff
10415345,5,same,0,HU-TU_pos5.mp3,t-h,u,diff
10415345,5,diff,1,THA-KA_pos5.mp3,th-k,a,diff
10415345,5,same,0,TI-KI_pos5.mp3,t-k,i,diff
10415345,5,same,1,HA-HA_pos5.mp3,h-h,a,same
10415345,5,same,1,PI-PI_pos5.mp3,p-p,i,same
10415345,5,same,1,HA-HA_pos5.mp3,h-h,a,same
10415345,5,same,1,KU-KU_pos5.mp3,k-k,u,same
10415345,5,same,0,KU-HU_pos5.mp3,k-h,u,diff
10415345,5,same,1,THI-THI_pos5.mp3,th-th,i,same
10415345,5,same,0,THI-HI_pos5.mp3,th-h,i,diff
10415345,5,same,1,THI-THI_pos5.mp3,th-th,i,same
10415345,5,same,1,PA-PA_pos5.mp3,p-p,a,same
10415345,5,same,1,PI-PI_pos5.mp3,p-p,i,same
10415345,5,same,0,KI-PI_pos5.mp3,p-k,i,diff
10415345,5,same,0,THI-PI_pos5.mp3,p-th,i,diff
10415345,5,same,1,PU-PU_pos5.mp3,p-p,u,same
10415345,5,same,0,TU-PU_pos5.mp3,p-t,u,diff
10415345,5,same,1,TI-TI_pos5.mp3,t-t,i,same
10415345,5,same,0,HI-TI_pos5.mp3,t-h,i,diff
10415345,5,same,0,PA-HA_pos5.mp3,p-h,a,diff
10415345,5,same,1,TU-TU_pos5.mp3,t-t,u,same
10415345,5,diff,1,TA-KA_pos5.mp3,t-k,a,diff
10415345,5,same,1,KI-KI_pos5.mp3,k-k,i,same
10415345,5,same,1,HU-HU_pos5.mp3,h-h,u,same
10415345,5,same,1,TI-TI_pos5.mp3,t-t,i,same
10415345,5,same,1,THA-THA_pos5.mp3,th-th,a,same
10415345,5,same,0,HU-PU_pos5.mp3,p-h,u,diff
10415345,5,same,1,KU-KU_pos5.mp3,k-k,u,same
10415345,5,diff,1,HA-KA_pos5.mp3,k-h,a,diff
10415345,5,same,0,PI-THI_pos5.mp3,p-th,i,diff
10415345,5,same,1,THU-THU_pos5.mp3,th-th,u,same
10415345,5,same,1,KI-KI_pos5.mp3,k-k,i,same
10415345,5,same,1,TA-TA_pos5.mp3,t-t,a,same
10415345,5,same,1,PA-PA_pos5.mp3,p-p,a,same
10415345,5,same,0,TU-HU_pos5.mp3,t-h,u,diff
10415345,5,same,1,THA-THA_pos5.mp3,th-th,a,same
10415345,5,same,0,THI-KI_pos5.mp3,th-k,i,diff
10415345,5,same,0,THU-HU_pos5.mp3,th-h,u,diff
10415345,5,diff,1,HA-TA_pos5.mp3,t-h,a,diff
10415345,5,same,0,THI-TI_pos5.mp3,th-t,i,diff
10415345,5,same,1,HU-HU_pos5.mp3,h-h,u,same
10415345,5,same,0,KU-THU_pos5.mp3,th-k,u,diff
10415345,5,same,0,TU-KU_pos5.mp3,t-k,u,diff
10415345,5,diff,1,TA-THA_pos5.mp3,th-t,a,diff
10415345,5,same,1,HI-HI_pos5.mp3,h-h,i,same
10415345,5,same,1,TI-TI_pos5.mp3,t-t,i,same
10415345,5,same,1,KA-KA_pos5.mp3,k-k,a,same
10415345,5,same,1,KU-KU_pos5.mp3,k-k,u,same
10415345,5,same,1,THU-THU_pos5.mp3,th-th,u,same
10415345,5,diff,1,THA-HA_pos5.mp3,th-h,a,diff
10415345,5,same,1,THU-THU_pos5.mp3,th-th,u,same
10415345,5,same,1,KA-KA_pos5.mp3,k-k,a,same
10415345,5,same,0,TI-PI_pos5.mp3,p-t,i,diff
10415345,5,same,1,TU-TU_pos5.mp3,t-t,u,same
10415345,5,diff,1,KA-HA_pos5.mp3,k-h,a,diff
10415345,5,same,1,THA-THA_pos5.mp3,th-th,a,same
10421971,5,diff,0,HU-HU_pos5.mp3,h-h,u,same
10421971,5,same,1,THA-THA_pos5.mp3,th-th,a,same
10421971,5,diff,0,TU-TU_pos5.mp3,t-t,u,same
10421971,5,same,0,KA-PA_pos5.mp3,p-k,a,diff
10421971,5,diff,0,THU-THU_pos5.mp3,th-th,u,same
10421971,5,diff,1,THI-HI_pos5.mp3,th-h,i,diff
10421971,5,same,0,HA-THA_pos5.mp3,th-h,a,diff
10421971,5,same,1,TA-TA_pos5.mp3,t-t,a,same
10421971,5,diff,1,TU-THU_pos5.mp3,th-t,u,diff
10421971,5,diff,0,HU-HU_pos5.mp3,h-h,u,same
10421971,5,diff,1,KU-PU_pos5.mp3,p-k,u,diff
10421971,5,same,0,THU-TU_pos5.mp3,th-t,u,diff
10421971,5,diff,0,PU-PU_pos5.mp3,p-p,u,same
10421971,5,same,1,KU-KU_pos5.mp3,k-k,u,same
10421971,5,same,1,TI-TI_pos5.mp3,t-t,i,same
10421971,5,diff,0,KI-KI_pos5.mp3,k-k,i,same
10421971,5,diff,0,HI-HI_pos5.mp3,h-h,i,same
10421971,5,diff,0,PI-PI_pos5.mp3,p-p,i,same
10421971,5,diff,0,THI-THI_pos5.mp3,th-th,i,same
10421971,5,diff,0,KI-KI_pos5.mp3,k-k,i,same
10421971,5,diff,1,HI-KI_pos5.mp3,k-h,i,diff
10421971,5,same,1,THU-THU_pos5.mp3,th-th,u,same
10421971,5,same,0,TU-PU_pos5.mp3,p-t,u,diff
10421971,5,same,1,THI-THI_pos5.mp3,th-th,i,same
10421971,5,same,0,TU-HU_pos5.mp3,t-h,u,diff
10421971,5,same,1,PA-PA_pos5.mp3,p-p,a,same
10421971,5,same,1,TI-TI_pos5.mp3,t-t,i,same
10421971,5,same,0,THI-KI_pos5.mp3,th-k,i,diff
10421971,5,diff,0,KA-KA_pos5.mp3,k-k,a,same
10421971,5,diff,1,PI-HI_pos5.mp3,p-h,i,diff
10421971,5,same,1,KU-KU_pos5.mp3,k-k,u,same
10421971,5,same,1,HA-HA_pos5.mp3,h-h,a,same
10421971,5,same,0,THA-KA_pos5.mp3,th-k,a,diff
10421971,5,same,1,PU-PU_pos5.mp3,p-p,u,same
10421971,5,same,1,KA-KA_pos5.mp3,k-k,a,same
10421971,5,same,0,KU-TU_pos5.mp3,t-k,u,diff
10421971,5,same,0,THI-TI_pos5.mp3,th-t,i,diff
10421971,5,same,1,TU-TU_pos5.mp3,t-t,u,same
10421971,5,same,0,THA-HA_pos5.mp3,th-h,a,diff
10421971,5,same,0,TI-KI_pos5.mp3,t-k,i,diff
10421971,5,same,1,HU-HU_pos5.mp3,h-h,u,same
10421971,5,same,0,TA-PA_pos5.mp3,p-t,a,diff
10421971,5,same,0,HU-THU_pos5.mp3,th-h,u,diff
10421971,5,same,1,HA-HA_pos5.mp3,h-h,a,same
10421971,5,same,1,HA-HA_pos5.mp3,h-h,a,same
10421971,5,diff,1,HU-TU_pos5.mp3,t-h,u,diff
10421971,5,diff,1,HI-TI_pos5.mp3,t-h,i,diff
10421971,5,same,0,KA-TA_pos5.mp3,t-k,a,diff
10421971,5,diff,1,PA-KA_pos5.mp3,p-k,a,diff
10421971,5,same,0,PI-KI_pos5.mp3,p-k,i,diff
10421971,5,diff,0,THU-THU_pos5.mp3,th-th,u,same
10421971,5,same,1,PI-PI_pos5.mp3,p-p,i,same
10421971,5,diff,1,HI-PI_pos5.mp3,p-h,i,diff
10421971,5,diff,1,THU-PU_pos5.mp3,p-th,u,diff
10421971,5,diff,1,TU-KU_pos5.mp3,t-k,u,diff
10421971,5,same,1,TI-TI_pos5.mp3,t-t,i,same
10421971,5,same,0,KA-HA_pos5.mp3,k-h,a,diff
10421971,5,diff,1,KU-THU_pos5.mp3,th-k,u,diff
10421971,5,diff,0,KU-KU_pos5.mp3,k-k,u,same
10421971,5,diff,1,PU-THU_pos5.mp3,p-th,u,diff
10421971,5,same,0,PI-TI_pos5.mp3,p-t,i,diff
10421971,5,same,0,KI-HI_pos5.mp3,k-h,i,diff
10421971,5,same,0,PI-THI_pos5.mp3,p-th,i,diff
10421971,5,diff,1,KA-THA_pos5.mp3,th-k,a,diff
10421971,5,diff,1,TA-HA_pos5.mp3,t-h,a,diff
10421971,5,diff,1,THU-HU_pos5.mp3,th-h,u,diff
10421971,5,diff,0,KI-KI_pos5.mp3,k-k,i,same
10421971,5,diff,0,THA-THA_pos5.mp3,th-th,a,same
10421971,5,same,1,PA-PA_pos5.mp3,p-p,a,same
10421971,5,diff,1,HU-KU_pos5.mp3,k-h,u,diff
10421971,5,same,1,THA-THA_pos5.mp3,th-th,a,same
10421971,5,diff,0,THI-THI_pos5.mp3,th-th,i,same
10421971,5,same,0,TA-THA_pos5.mp3,th-t,a,diff
10421971,5,diff,1,PA-HA_pos5.mp3,p-h,a,diff
10421971,5,same,1,TA-TA_pos5.mp3,t-t,a,same
10421971,5,diff,0,HU-HU_pos5.mp3,h-h,u,same
10421971,5,diff,1,KI-THI_pos5.mp3,th-k,i,diff
10421971,5,same,1,KI-KI_pos5.mp3,k-k,i,same
10421971,5,same,1,PI-PI_pos5.mp3,p-p,i,same
10421971,5,same,0,HU-PU_pos5.mp3,p-h,u,diff
10421971,5,diff,0,THI-THI_pos5.mp3,th-th,i,same
10421971,5,diff,0,TA-TA_pos5.mp3,t-t,a,same
10421971,5,diff,0,HI-HI_pos5.mp3,h-h,i,same
10421971,5,diff,0,TA-TA_pos5.mp3,t-t,a,same
10421971,5,diff,0,PA-PA_pos5.mp3,p-p,a,same
10421971,5,same,1,TI-TI_pos5.mp3,t-t,i,same
10421971,5,diff,0,THU-THU_pos5.mp3,th-th,u,same
10421971,5,diff,0,KA-KA_pos5.mp3,k-k,a,same
10421971,5,diff,1,THI-PI_pos5.mp3,p-th,i,diff
10421971,5,diff,1,TI-THI_pos5.mp3,th-t,i,diff
10421971,5,diff,1,THA-TA_pos5.mp3,th-t,a,diff
10421971,5,diff,1,HA-TA_pos5.mp3,t-h,a,diff
10421971,5,same,0,PU-TU_pos5.mp3,p-t,u,diff
10421971,5,diff,1,PU-KU_pos5.mp3,p-k,u,diff
10421971,5,same,1,TU-TU_pos5.mp3,t-t,u,same
10421971,5,diff,0,PU-PU_pos5.mp3,p-p,u,same
10421971,5,same,0,HA-KA_pos5.mp3,k-h,a,diff
10421971,5,diff,1,PA-TA_pos5.mp3,p-t,a,diff
10421971,5,same,1,HI-HI_pos5.mp3,h-h,i,same
10421971,5,diff,0,PA-PA_pos5.mp3,p-p,a,same
10421971,5,diff,1,TI-PI_pos5.mp3,p-t,i,diff
10421971,5,diff,0,KA-KA_pos5.mp3,k-k,a,same
10421971,5,diff,0,PI-PI_pos5.mp3,p-p,i,same
10421971,5,diff,1,KI-PI_pos5.mp3,p-k,i,diff
10421971,5,diff,1,TA-KA_pos5.mp3,t-k,a,diff
10421971,5,diff,0,TU-TU_pos5.mp3,t-t,u,same
10421971,5,diff,0,KU-KU_pos5.mp3,k-k,u,same
10421971,5,diff,1,TI-HI_pos5.mp3,t-h,i,diff
10421971,5,diff,0,THA-THA_pos5.mp3,th-th,a,same
10421971,5,diff,1,KI-TI_pos5.mp3,t-k,i,diff
10421971,5,same,0,HA-PA_pos5.mp3,p-h,a,diff
10421971,5,diff,1,PU-HU_pos5.mp3,p-h,u,diff
10421971,5,diff,1,PA-THA_pos5.mp3,p-th,a,diff
10421971,5,diff,1,THU-KU_pos5.mp3,th-k,u,diff
10421971,5,same,1,HA-HA_pos5.mp3,h-h,a,same
10421971,5,diff,0,PU-PU_pos5.mp3,p-p,u,same
10421971,5,diff,1,THA-PA_pos5.mp3,p-th,a,diff
10421971,5,diff,1,HI-THI_pos5.mp3,th-h,i,diff
10421971,5,same,0,KU-HU_pos5.mp3,k-h,u,diff
10421971,5,diff,0,HI-HI_pos5.mp3,h-h,i,same
10428532,5,same,1,PA-PA_pos5.mp3,p-p,a,same
10428532,5,same,1,PI-PI_pos5.mp3,p-p,i,same
10428532,5,diff,1,THI-KI_pos5.mp3,th-k,i,diff
10428532,5,diff,1,PI-KI_pos5.mp3,p-k,i,diff
10428532,5,diff,1,THU-HU_pos5.mp3,th-h,u,diff
10428532,5,same,1,PA-PA_pos5.mp3,p-p,a,same
10428532,5,diff,1,THI-HI_pos5.mp3,th-h,i,diff
